DEPTH,GR,SGR
500.7864,85.6768,0.3320430258169364
500.9388,86.451,0.3361471010216061
501.0912,87.2249,0.34024958591038673
501.2436,89.7364,0.35356318042928103
501.396,93.1589,0.3717060341983099
501.5484,93.8587,0.3754157110624637
501.7008,91.9707,0.3654073230665757
501.8532,89.7612,0.3536946465427864
502.0056,89.9036,0.35444951648484907
502.158,93.1377,0.37159365187547466
502.3104,95.8821,0.38614186162966685
502.4628,94.9508,0.3812049910043648
502.6152,90.8986,0.3597240641839532
502.7676,87.1601,0.3399060776783244
502.92,87.1185,0.3396855538750252
503.0724,90.6156,0.3582238661951628
503.2248,94.9231,0.3810581518372641
503.3772,97.3432,0.3938872301152558
503.5296,96.2341,0.38800783227296803
503.682,91.6752,0.36384086191573634
503.8344,85.8224,0.3328148591284837
503.9868,81.1287,0.30793330683171505
504.1392,78.9046,0.2961432349346524
504.2916,78.739,0.2952653805638266
504.444,78.5622,0.2943281543998049
504.5964,78.2534,0.29269118924454524
504.7488,78.6257,0.294664771263014
504.9012,80.6952,0.3056353003718541
505.0536,85.1271,0.32912903700266755
505.206,89.3515,0.35152280514346684
505.3584,91.0014,0.3602690124286445
505.5108,90.68,0.3585652540060395
505.6632,89.4905,0.3522596515054522
505.8156,87.5927,0.3421993131905178
505.968,85.7791,0.3325853235351458
506.1204,85.0657,0.32880355235068265
506.2728,85.6339,0.33181561064478404
506.4252,86.1428,0.3345133164981248
506.5776,84.6718,0.32671546758819314
506.73,82.4425,0.314897830215718
506.8824,81.6609,0.31075452721911523
507.0348,81.8769,0.3118995546593228
507.1872,82.9558,0.3176188607021
507.3396,85.117,0.3290754963677319
507.492,87.8338,0.3434773970601198
507.6444,90.2455,0.35626194649321463
507.7968,91.3139,0.3619255914798707
507.9492,91.0336,0.3604397063340829
508.1016,89.1625,0.3505209061332852
508.254,87.0631,0.33939187554082384
508.4064,85.3144,0.3301219242228105
508.5588,82.9078,0.3173644101598317
508.7112,82.7192,0.31636463157083566
508.8636,84.2579,0.3245213617664251
509.016,84.222,0.3243310539650202
509.1684,83.8919,0.32258117638162903
509.3208,83.7142,0.3216391792699398
509.4732,84.5491,0.3260650283895196
509.6256,86.1371,0.3344831004962305
509.778,85.3976,0.3305629718294089
509.9304,83.832,0.32226364330908996
510.0828,83.7798,0.32198692834437315
510.2352,84.4834,0.3257167492097899
510.3876,85.8508,0.33296540903265914
510.54,88.2555,0.34571285109500643
510.6924,89.6978,0.35335855978487357
510.8448,89.3535,0.35153340724939464
510.9972,88.6917,0.34802517039786995
511.1496,87.7425,0.34299341092451363
511.302,86.6377,0.33713680760997067
511.4544,86.016,0.33384114298229933
511.6068,86.1228,0.33440729543884634
511.7592,88.6088,0.3475857131071607
511.9116,92.779,0.36969216417731526
512.064,94.0107,0.3762214711129801
512.2164,92.0155,0.3656448102393596
512.3688,89.9814,0.35486193840544233
512.5212,89.0469,0.3499081044106556
512.6736,89.262,0.35104836090319563
